State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
KOGI,AJAOKUTA,22020051,"LOCAL GOVERNMENT EDUCATION AUTHORITY MODEL NURSERY  SCHOOL EGANYI",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KOGI,AJAOKUTA,22020054,"LOCAL GOVERNMENT EDUCATION AUTHORITY MODEL NURSERY AND PRIMARY SCHOOL EBIYA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KOGI,AJAOKUTA,22020055,"LOCAL GOVERNMENT EDUCATION AUTHORITY MODEL NURSERY SCHOOL PYN AJAOKUTA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KOGI,AJAOKUTA,22020049,"LOCAL GOVERNMENT EDUCATION AUTHORITY NURSERY  AND  PRIMARY SCHOOL  SCH GANAJA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KOGI,AJAOKUTA,22020121,"LOCAL GOVERNMENT EDUCATION AUTHORITY SAE SCHOOL NURSERY (ECCDE) AJAOKUTA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NIGER,AGAIE,26010106,"LOGUMA NURSERY SCHOOL",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,ALIMOSHO,24039392,"LORD BLOSSOM PATH SCHOOL ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
PLATEAU,WASE,31170112,"LORRY MAXWELL INTERNATIONAL NURSERY SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
FCT,MUNICIPAL,37062612,"LOUIS NURSERY AND PRIMARY SCHOOLS KABUSA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,ALIMOSHO,24037090,"LOUREB CRECHE AND PRE SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KADUNA,KADUNA-NORTH,18090651,"M&amp;M MEMORIAL ISLAMIC ACADEMY ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KANO,BICHI,19050096,"M/GARU ISLAMIYYA PRIMARY SCHOOL, M/GARU",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
LAGOS,IBEJU-LEKKI,24090486,"MAAB PRIVATE SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060180,"MAD FAILATIL LILUMIL ISLAMIYA PASS",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KANO,TAKAI,19370261,"MAD GWANI MALAM DANFAKE KA HAKO",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
NIGER,WUSHISHI,26250069,"MADARASATU AL-IHSSAN LOKOGOMA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
NIGER,GBAKO,26080286,"MADARASATU AL-TARBIYATU ISLAMIYA EDOZHIGI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
NIGER,GBAKO,26080155,"MADARASATUL ALHAJI NUHU ISLAMIC CENTRE SONFADAKO",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KEBBI,BIRNIN-KEBBI,21060209,"MADARASATUL ALIYU KWALSHE ISLAMIC SCHOOL, AMBURSA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KATSINA,MALUMFASHI,20250197,"MADARASATUL HIDAYATULISLAM , UNGUWAR SODANGI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KADUNA,KADUNA-SOUTH,18100176,"MADARASATUL IHYAUSSUNNAH WATAHFIZIL QURAN",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
NIGER,GBAKO,26080156,"MADARASATUL ISLAMIYAT NUWANKOTA I Q E CENTRE",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KEBBI,BIRNIN-KEBBI,21060247,"MADARASATUL ISLAMIYYA UNGUWAR UMARU WANGARA AMBURSA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KEBBI,BIRNIN-KEBBI,21060265,"MADARASATUL NURUDEENI MALJAUL SUNNA BAYAN DANDO",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
NIGER,RIJAU,26210150,"MADARASATUL NURUL ISLAM",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
NIGER,MARIGA,26150130,"MADARASATUL NURUL-DEEN GIDAN GALADIMA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
NIGER,RIJAU,26210235,"MADARASATUL SHABABUL ISLAM T/MAGAJIYA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
NIGER,RIJAU,26210224,"MADARASATUL TAHFIZUL QURAN",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
NIGER,RIJAU,26210214,"MADARASATUL TARBIYATUL ISLAM MALAM BABBA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KATSINA,MALUMFASHI,20250196,"MADARASATUL ULUMUL QURAN , GANGARAWA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
FCT,MUNICIPAL,37063209,"MADARASSATUL NURUL HUDA KAROMANJIGI ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KADUNA,IGABI,18040252,"MADARASTUL USMAN IBN AFFAN LIDIRASATIL ISLAMIYYA WA TAHFIZIL QURAN",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060141,"MADARISATUL DARUL DAAWA FALALE GUMMI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060196,"MADARISATUL DARUL QURAN DAKI TAKWAS",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060177,"MADARISATUL HAYATUL ISLAM ADARAWA GUMMI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KEBBI,ALIERO,21010038,"MADARISATUL HIZBU RAHEEM S/GARI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KEBBI,ALIERO,21010039,"MADARISATUL HIZBU RAHEEM TARBIYATUL AULADU",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060181,"MADARISATUL ISLAMIYYA NANIYA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060144,"MADARISATUL MISBAHUL HAKIKA YAR DUSSA GUMMI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060182,"MADARISATUL NURUL ISLAM YARKUDA ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060198,"MADARISATUL RASULLULLAH MALAM ABUDULLAHI MAI ALMAJIRAI GUSAU ROAD",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060160,"MADARISATUL TAAHLIMUL QURAN YAR KUDA GUMMI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060142,"MADARISATUL TARBIYATUL ISLAM GAYARI GUMMI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
JIGAWA,BUJI,17050061,"MADIBA PRIMARY SCHOOL MADIBA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KANO,GWALE,19180992,"MADRASATIL BILAL BIN ABI ROBAHA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KEBBI,JEGA,21120110,"MADRASATU ZUMURATUL MUMIN GIDAN SADAKA,JEGA",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
SOKOTO,SHAGARI,33140067,"MAGAJI ABDULLAHI ECCD SHAGARI ",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KANO,KUNCHI,19260088,"MAGAWATA (A) PRIMARY SCHOOL, MAGAWATA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
KANO,KUNCHI,19260089,"MAGAWATA A ISLAMIYYA PRIMARY SCHHOL, MAGAWATA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
PLATEAU,JOS-EAST,31040167,"MAGBISH NURSERY SCHOOL",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
OYO,AKINYELE,30020818,"MAHD SHEIKH  IBRAHIM FIL TALIM",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
JIGAWA,GAGARAWA,17070052,"MAI ADUWA PRIMARY SCHOOL, MAI ADUWA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
YOBE,MACHINA,35110032,"MAI ALIYU MEMORIAL CHILDREN ACADEMY MACHINA (MAMCAM)",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
JIGAWA,TAURA,17260084,"MAJIA ISLAMIYA PRIMARY SCHOOL, MAJIA",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
SOKOTO,RABAH,33120069,"MAKARANTA  MALAN HANTSI  SABON GARI",Pre-Primary,PUBLIC,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060140,"MAKARANTAR DARUL JANANI FALALE",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060161,"MAKARANTAR LIMAN SANI MAI MOTA GWALLI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060178,"MAKARANTAR M ATTAHIRU GABTU",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060201,"MAKARANTAR MALAM IBRAHIM GIWA GYALANGE",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060197,"MAKARANTAR MALAN IBRAHIM BALA ",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060159,"MAKARANTAR MALAN KKWAZO GWALI",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
ZAMFARA,GUMMI,36060189,"MAKARANTAR MALAN UMMAR NAABU GAMO",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KEBBI,SAKABA,21170148,"MAKARANTAR MALLAN  DANKARAMI IQS",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KEBBI,SAKABA,21170147,"MAKARANTAR MALLAN MAISHANU IQS",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
KEBBI,DANKO/WASAGU,21090625,"MAKARANTAR MARAFA YARO",Pre-Primary,PRIVATE,"ECCDE / PRE-PRIMARY ONLY"
