State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
"OYO                 ","OGBOMOSO SOUTH                ",1312230006,"MUSLIM COMPREHENSIVE HIGH SCHOOL, OGBOMOSO                                                          ","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"IJEBU ODE",27090409,"MUSLIM GIRLS' HIGH SCHOOL (SNR), IJEBU-ODE","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","OGBOMOSO SOUTH                ",1312230007,"MUSLIM GRAMMAR SCHOOL                                                                               ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","OLORUNSOGO                    ",1312430001,"MUSLIM GRAMMAR SCHOOL, IGBETI                                                                       ","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","ITESIWAJU                     ",1311730006,"MUSLIM GRAMMAR SCHOOL, OTU                                                                          ","Senior Secondary",PUBLIC,"JSS AND SSS"
OSUN,OSOGBO,29300170s,"MUSLIM GRAMMER SCHOOL, OKE- OSUN","Senior Secondary",PUBLIC,"SSS ONLY"
"OYO                 ","ISEYIN                        ",1311630015,"MUSLIM HIGH SCHOOL II, ISEYIN                                                                       ","Senior Secondary",PUBLIC,"JSS AND SSS"
KOGI,DEKINA,22050502,"MUSLIM HIGH SCHOOL, ANYIGBA","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","ISEYIN                        ",1311630016,"MUSLIM HIGH SCHOOL, I ISEYIN                                                                        ","Senior Secondary",PUBLIC,"JSS AND SSS"
OGUN,"IMEKO AFON",27110079S,"MUSLIM HIGH SCHOOL, ILARA-YEWA (COMBINED)","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","ITESIWAJU                     ",1311730010,"MUSLIM HIGH SCHOOL, IPAPO                                                                           ","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","ITESIWAJU                     ",1311730011,"MUSLIM HIGH SCHOOL, OKAKA                                                                           ","Senior Secondary",PUBLIC,"SSS ONLY"
NIGER,BORGU,26040235,"MUSLIM MODEL COLLEGE, MAN CENTRE KAINJI ROAD, NEW BUSSA","Senior Secondary",PRIVATE,PRIVATE
"OYO                 ","SAKI WEST                     ",1313230011,"MUSLIM SECONDARY SCHOOL                                                                             ","Senior Secondary",PUBLIC,"JSS AND SSS"
"OYO                 ","SAKI WEST                     ",1313230010,"MUSLIM SECONDARY SCHOOL II, SAKI                                                                    ","Senior Secondary",PUBLIC,"SSS ONLY"
