State,LGA,"School Code","School Name","Level of Education",Sector,"Level Offered"
KADUNA,KADUNA-NORTH,18090142,"FIRST AFRICAN CHURCH MISSION SCHOOLS","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,ALIMOSHO,24030764,"FIRST APEX SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
CROSS-RIVER,AKPABUYO,9030287,"FIRST ASSURED PREMIER COLLEGE UKUT ASUQUO ","Junior Secondary",PRIVATE,"JSS ONLY"
DELTA,OKPE,10130059,"FIRST BAPTISH MODEL SECONDARY SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
PLATEAU,LANGTANG-SOUTH,31100178,"FIRST BAPTIST ACADEMY","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,OYO-WEST,30300228,"FIRST BAPTIST ACADEMY OKE-ISOKUN","Junior Secondary",PRIVATE,"JSS AND SSS"
PLATEAU,JOS-SOUTH,31060131,"First Baptist Bukuru","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,SURULERE,30330158,"FIRST BAPTIST CHURCH ACADEMY, OKO                                                                   ","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,ORI-IRE,30280167,"FIRST BAPTIST CHURCH COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
OSUN,BORIPE,29060048,"FIRST BAPTIST CHURCH COLLEGE,IREE","Junior Secondary",PRIVATE,"JSS AND SSS"
OSUN,EJIGBO,29100194,"FIRST BAPTIST CHURCH COMPREHENSIVE HIGH SCHOOL, ","Junior Secondary",PRIVATE,"JSS AND SSS"
KWARA,"ILORIN WEST",23080657,"FIRST BAPTIST COLLEGE ","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,AFIJIO,30010107,"FIRST BAPTIST COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,SURULERE,30330163,"FIRST BAPTIST COLLEGE SCHOOL, IRESA ADU                                                 ","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,KOSOFE,24131450,"FIRST BAPTIST COLLEGE, KOSOFE","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,ORI-IRE,30280172,"FIRST BAPTIST COLLEGE, OKO-ILE                                                                      ","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,ITESIWAJU,30170097,"FIRST BAPTIST COLLEGE, OTU","Junior Secondary",PRIVATE,"JSS AND SSS"
LAGOS,ALIMOSHO,24038576,"FIRST BAPTIST GROUP OF SCHOOLS ","Junior Secondary",PRIVATE,"JSS AND SSS"
RIVERS,PORT-HARCOURT,32220998,"FIRST BAPTIST GROUP OF SCHOOLS","Junior Secondary",PRIVATE,"JSS ONLY"
OSUN,IREWOLE,29210179,"FIRST BAPTIST HIGH SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
LAGOS,IBEJU-LEKKI,24090402,"FIRST BAPTIST MISSIONARY COLLEGE","Junior Secondary",PRIVATE,"JSS AND SSS"
OYO,ISEYIN,30160333,"FIRST BAPTIST MODEL  COLLEGE","Junior Secondary",PRIVATE,"JSS ONLY"
OYO,ITESIWAJU,30170098,"FIRST BAPTIST MODEL COLLEGE               OKAKA","Junior Secondary",PRIVATE,"JSS AND SSS"
OGUN,IFO,27050758,"FIRST BAPTIST MODEL SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
BAYELSA,YENEGOA,6082162,"FIRST BAPTIST MODEL SCHOOL","Junior Secondary",PRIVATE,"JSS ONLY"
BAYELSA,YENEGOA,6080814,"FIRST BAPTIST MODEL SCHOOLS, IGBOGENE","Junior Secondary",PRIVATE,"JSS ONLY"
TARABA,BALI,34020255,"FIRST BAPTIST NUR/PRI.","Junior Secondary",PRIVATE,"JSS AND SSS"
PLATEAU,BARKIN-LADI,31010054,"FIRST BAPTIST PRIVATE SCHOOL","Junior Secondary",PRIVATE,"JSS AND SSS"
NASARAWA,WAMBA,25130013,"FIRST BAPTIST SECONDARY SCHOOL, WAMBA","Junior Secondary",PRIVATE,"JSS AND SSS"
KADUNA,SABON-GARI,18190046,"FIRST BATIST HIGH SCHOOL SABON GARI ZARIA","Junior Secondary",PRIVATE,"JSS AND SSS"
EBONYI,IVO,11090062,"FIRST BRAIN ACADEMY SECONDARY SCHOOL OGWOR ISHIAGU.","Junior Secondary",PRIVATE,"JSS AND SSS"
